xi,x_orig_mm,y_orig_mm,x_bumped_mm,y_bumped_mm,s_mm,h_mm
0,-449.3762831,-23.68451398,-449.3762831,-23.68451398,0,0
0.0001250312578,-449.2916413,-23.15245095,-449.2916413,-23.15245095,0.5380079549,0
0.0002500625156,-449.2068451,-22.62331837,-449.2068451,-22.62331837,1.073076882,0
0.0003750937734,-449.12174,-22.10004671,-449.12174,-22.10004671,1.603744608,0
0.0005001250313,-449.0361715,-21.58556643,-449.0361715,-21.58556643,2.122667866,0
0.0006251562891,-448.9499852,-21.08280797,-448.9499852,-21.08280797,2.634251461,0
0.0007501875469,-448.8630267,-20.59470181,-448.8630267,-20.59470181,3.128293969,0
0.0008752188047,-448.7751414,-20.12417838,-448.7751414,-20.12417838,3.604772938,0
0.001000250063,-448.686175,-19.67416816,-448.686175,-19.67416816,4.069548073,0
0.00112528132,-448.5959731,-19.24760161,-448.5959731,-19.24760161,4.498065741,0
0.001250312578,-448.504381,-18.84740916,-448.504381,-18.84740916,4.909227855,0
0.001375343836,-448.4112496,-18.47642365,-448.4112496,-18.47642365,5.294615418,0
0.001500375094,-448.3165486,-18.1352175,-448.3165486,-18.1352175,5.644191353,0
0.001625406352,-448.2203676,-17.82209461,-448.2203676,-17.82209461,5.976849088,0
0.001750437609,-448.122801,-17.53525963,-448.122801,-17.53525963,6.277660615,0
0.001875468867,-448.0239435,-17.27291721,-448.0239435,-17.27291721,6.557379429,0
0.002000500125,-447.9238898,-17.033272,-447.9238898,-17.033272,6.82312643,0
0.002125531383,-447.8227344,-16.81452865,-447.8227344,-16.81452865,7.05907468,0
0.002250562641,-447.720572,-16.61489179,-447.720572,-16.61489179,7.284935398,0
0.002375593898,-447.6174972,-16.43256608,-447.6174972,-16.43256608,7.495939208,0
0.002500625156,-447.5136046,-16.26575616,-447.5136046,-16.26575616,7.690759071,0
0.002625656414,-447.408989,-16.11266668,-447.408989,-16.11266668,7.878468433,0
0.002750687672,-447.3037447,-15.97150229,-447.3037447,-15.97150229,8.053840694,0
0.00287571893,-447.1979667,-15.84046762,-447.1979667,-15.84046762,8.222376143,0
0.003000750188,-447.0917493,-15.71776734,-447.0917493,-15.71776734,8.386414262,0
0.003125781445,-446.9851873,-15.60160608,-446.9851873,-15.60160608,8.543026894,0
0.003250812703,-446.8783753,-15.49018849,-446.8783753,-15.49018849,8.697998146,0
0.003375843961,-446.7714079,-15.38171922,-446.7714079,-15.38171922,8.85057195,0
0.003500875219,-446.6643797,-15.27440291,-446.6643797,-15.27440291,9.00244465,0
0.003625906477,-446.5573854,-15.16644422,-446.5573854,-15.16644422,9.154559173,0
0.003750937734,-446.4505093,-15.05624157,-446.4505093,-15.05624157,9.308241359,0
0.003875968992,-446.3437693,-14.94345784,-446.3437693,-14.94345784,9.46360337,0
0.00400100025,-446.2371564,-14.82826305,-446.2371564,-14.82826305,9.620070363,0
0.004126031508,-446.1306615,-14.71082857,-446.1306615,-14.71082857,9.779032121,0
0.004251062766,-446.0242756,-14.59132577,-446.0242756,-14.59132577,9.938909025,0
0.004376094024,-445.9179897,-14.46992604,-445.9179897,-14.46992604,10.10011159,0
0.004501125281,-445.8117947,-14.34680074,-445.8117947,-14.34680074,10.2628934,0
0.004626156539,-445.7056817,-14.22212124,-445.7056817,-14.22212124,10.42639433,0
0.004751187797,-445.5996415,-14.09605893,-445.5996415,-14.09605893,10.5912024,0
0.004876219055,-445.4936652,-13.96878517,-445.4936652,-13.96878517,10.75682989,0
0.005001250313,-445.3877437,-13.84047134,-445.3877437,-13.84047134,10.92299244,0
0.00512628157,-445.281868,-13.71128882,-445.281868,-13.71128882,11.09017318,0
0.005251312828,-445.176029,-13.58140898,-445.176029,-13.58140898,11.25764431,0
0.005376344086,-445.0702178,-13.45100319,-445.0702178,-13.45100319,11.42553266,0
0.005501375344,-444.9644252,-13.32024282,-444.9644252,-13.32024282,11.59373179,0
0.005626406602,-444.8586423,-13.18929926,-444.8586423,-13.18929926,11.76201552,0
0.005751437859,-444.75286,-13.05834387,-444.75286,-13.05834387,11.93034437,0
0.005876469117,-444.6470694,-12.92754804,-444.6470694,-12.92754804,12.09850859,0
0.006001500375,-444.5412612,-12.79708313,-444.5412612,-12.79708313,12.26656112,0
0.006126531633,-444.4354266,-12.66712051,-444.4354266,-12.66712051,12.43402648,0
0.006251562891,-444.3295565,-12.53783157,-444.3295565,-12.53783157,12.60111385,0
0.006376594149,-444.2236419,-12.40938768,-444.2236419,-12.40938768,12.76766265,0
0.006501625406,-444.1176737,-12.2819602,-444.1176737,-12.2819602,12.93320823,0
0.006626656664,-444.0116429,-12.15572052,-444.0116429,-12.15572052,13.09819321,0
0.006751687922,-443.9055404,-12.03084001,-443.9055404,-12.03084001,13.26196204,0
0.00687671918,-443.7993573,-11.90749005,-443.7993573,-11.90749005,13.42459646,0
0.007001750438,-443.6930845,-11.785842,-443.6930845,-11.785842,13.58648657,0
0.007126781695,-443.5867129,-11.66606725,-443.5867129,-11.66606725,13.74626744,0
0.007251812953,-443.4802351,-11.54830855,-443.4802351,-11.54830855,13.90510585,0
0.007376844211,-443.3736512,-11.4325623,-443.3736512,-11.4325623,14.06261244,0
